-9,-5,6,-14,0,-5,12,5,-5,13,2,2,-7,1,-2,8,5,7,-1,1,-7,0,-2,5,-1,-6,1,-6,0,4,-4,0,1,-2,3,6,3,-1,1,-3,1,0,9,2,-4,0,-2,2,1
0,0,0,0,2,-1,0,0,-1,-6,-1,2,0,0,1,0,0,-3,-5,-10,5,-6,2,-33,0,11,7,2,3,-6,-1,1,5,8,5,6,-7,-2,-1,1,0,-4,1,0,-3,-4,0,-3,0
0,2,-5,-1,2,5,0,1,-1,1,1,2,-3,2,-3,1,-1,-1,2,-7,3,0,-5,7,-3,3,1,2,10,5,0,1,1,5,12,-3,-8,6,0,0,0,3,0,0,-11,0,2,-3,1
-23,18,-6,-15,-17,-12,4,25,-10,-17,14,5,7,16,7,-16,-5,10,-8,-23,-33,8,-28,-8,-10,-10,37,4,14,12,-6,-18,15,5,-6,-18,-17,9,-24,17,15,14,-13,-2,-1,32,25,2,1
9,5,3,-8,-8,5,7,0,-5,0,-8,11,-4,-4,-10,-19,0,10,9,-2,3,4,7,-7,6,-2,0,2,-1,8,4,2,-5,-2,-9,0,0,0,0,-6,-3,-7,-5,-1,10,3,-3,-4,1
0,6,0,1,1,-7,3,0,0,1,-2,-6,4,-2,3,0,-1,-2,1,4,0,0,0,1,-7,0,0,1,0,0,1,0,3,4,1,0,0,1,-1,0,-1,-1,3,0,0,-1,1,0,0
-1,2,5,0,-5,1,0,0,-4,1,1,0,0,1,0,0,-1,0,1,-3,-6,1,1,1,0,-2,0,0,2,-2,0,1,0,1,1,0,1,2,-1,2,1,-2,0,1,3,2,1,0,1
1,1,17,15,9,9,8,5,-7,-1,9,0,7,13,-2,9,3,0,-4,3,4,2,-2,0,-3,-4,-16,-7,28,-11,-5,10,-1,-4,-4,0,8,5,4,14,21,1,-12,2,-1,-5,-11,-12,1
0,1,-2,0,0,0,0,0,-1,-2,0,0,-3,-2,2,0,4,2,0,0,0,0,2,1,0,1,1,1,5,0,0,-6,3,2,0,0,0,-4,-2,2,0,0,0,-1,-3,0,2,0,1
1,1,3,-12,-11,0,1,1,0,3,1,0,-5,0,2,-4,-1,-1,-5,4,7,0,0,2,-2,-1,-19,-16,-8,3,11,10,-3,-1,-2,1,0,-5,1,0,-1,5,2,0,1,0,1,7,1
5,4,2,-4,-3,3,-3,-1,6,0,-2,2,4,0,-1,-5,-6,6,-3,-2,0,5,2,-2,2,2,0,-1,2,-4,-1,0,-1,5,10,0,6,-4,-3,1,1,-3,-3,-3,-7,-10,0,-1,1
0,-1,0,-7,-4,2,-13,0,0,8,6,-2,1,0,0,4,4,4,7,10,-5,7,1,-5,-1,-1,2,4,0,1,-2,-18,-15,6,-3,-5,-10,-1,-2,16,-7,7,9,-1,-6,4,0,-8,0
-11,1,0,0,-11,4,4,2,-3,6,4,-5,-2,0,-1,-1,6,8,4,-3,-4,-4,4,0,5,-5,1,-5,-5,3,2,-1,-3,3,0,-1,0,1,-2,-7,-8,7,4,1,-2,3,3,1,1
0,-3,1,7,0,-2,-8,1,-2,0,2,4,1,-1,4,3,2,2,-1,-1,-1,0,2,0,-5,2,1,1,6,6,0,0,0,-1,-2,-2,-2,5,0,2,0,0,-4,4,3,12,9,-5,1
2,-13,3,-13,4,-3,5,8,0,-6,-11,3,-1,4,5,3,2,-11,9,7,1,-6,-4,7,4,-4,2,5,3,-2,0,-2,-3,-1,6,1,-3,0,2,2,2,7,0,2,-5,-10,5,0,0
-3,-3,-2,7,0,-1,0,5,-1,4,10,5,-3,-7,-6,-19,-4,-36,0,3,11,4,8,-7,-9,-2,11,-22,6,6,-2,-12,-4,12,9,-2,10,-3,0,7,-1,-3,-5,-1,0,-5,0,8,0
-4,-18,11,1,0,7,7,3,9,-9,-1,7,-5,0,1,1,0,-1,-11,0,11,3,-1,-2,-2,-1,0,-14,-2,-8,2,-7,6,11,-6,0,6,-2,-2,0,6,5,-15,-5,-15,-12,10,-6,1
0,13,-9,3,0,-8,-9,21,18,4,-11,1,4,10,4,-3,-11,-1,1,1,-20,-3,7,-3,7,3,-9,-16,-3,-6,-20,-20,5,0,-4,-23,10,-3,-3,2,8,-13,4,18,11,0,-11,-4,0
9,7,0,6,5,-9,0,3,3,1,15,1,-15,-5,11,0,3,4,-6,-26,-23,-11,13,3,-9,-9,-10,17,13,-11,5,-20,3,10,0,4,10,13,1,-9,3,-2,-7,9,7,0,-4,0,1
-1,-8,0,4,0,-4,1,-1,2,4,0,-8,3,1,0,-6,0,0,1,-1,2,0,0,4,2,6,6,11,3,-6,-3,4,-1,-1,0,0,-6,-1,0,4,4,0,0,3,0,1,-5,-3,1
0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,4,6,4,0,0,0,0,0,0,4,6,7,0,0,0,0,3,0,5,-2,-3,-2,2,1,-1,0,-1,-2,1,4,5,5,-1,1,1
-4,-4,-1,2,-6,-11,2,-2,0,-6,-12,1,-8,-11,2,7,0,1,-1,-10,5,-3,0,9,-1,-1,6,2,2,3,1,-3,-1,9,12,13,-5,3,-1,1,-1,-4,-1,0,5,0,-3,-5,0
2,1,4,3,1,5,11,10,0,10,14,-12,-11,5,1,8,12,4,0,8,-2,8,5,-6,6,6,2,8,18,-6,-24,-17,15,4,-17,-14,4,-23,-31,-56,8,36,-11,21,23,-26,-19,-1,1
4,14,5,0,-1,7,5,1,2,-3,-2,3,-4,1,1,-1,0,-4,7,5,0,2,3,0,-1,-4,0,3,-2,3,3,1,0,0,-3,3,-2,0,4,6,0,2,2,2,0,-2,-8,1,1
0,3,0,-1,-11,-2,-1,0,-15,-8,2,7,-7,5,8,4,-4,1,-3,-9,-2,0,-13,11,0,10,-2,0,7,11,0,6,-4,-3,0,4,-3,-10,-1,-6,8,-4,1,0,9,0,3,5,0
0,-1,-2,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-2,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,-1,1,0,0,0,0,0,1
2,-1,-4,-1,2,2,-3,0,0,0,4,0,0,0,0,-9,-6,9,0,0,-1,-6,1,2,0,1,4,0,-4,2,0,0,-3,1,-3,0,2,-2,1,0,0,1,0,-1,1,-4,-6,-4,1
2,0,1,-1,0,0,0,-1,0,1,0,0,-1,0,-3,1,1,1,0,0,-2,0,1,0,0,1,2,0,-1,0,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,-1,0,1
5,0,-12,7,19,18,-2,0,5,-3,-4,7,6,-6,-16,-7,-5,8,-13,-9,4,-19,3,6,-6,2,-1,1,15,4,-4,8,5,11,-3,-4,-8,0,-4,8,-4,-7,-4,-4,5,4,7,-9,0
1,0,-1,0,0,0,-1,0,0,1,-1,0,1,0,4,6,2,4,2,0,1,2,-1,0,0,-3,0,3,-3,-8,-1,-8,1,0,-2,0,0,3,2,-1,-4,0,6,0,2,2,0,4,0
